OrderID,CustomerName,Email,Product,Category,Price,Quantity,OrderDate,Country,Status
1001,John Doe,john@example.com,Laptop,Electronics,55000,1.0,2024-01-12,India,Completed
1002,Jane Smith,jane.smith@example.com,Phone,Electronics,30000,2.0,2024/01/15,India,Completed
1003,,noemail,Headphones,Electronics,2000,1.0,15-01-2024,India,Pending
1004,Arjun Kumar,arjun@mail.com,Tablet,Electronics,,1.0,2024-01-18,India,Completed
1005,Priya Singh,priya@mail.com,Smartwatch,Electronics,15000,,2024-01-20,India,Cancelled
1006,Rahul Verma,rahul@mail,Camera,Electronics,45000,1.0,2024-01-22,India,Completed
1007,Meena Iyer,meena@example.com,Laptop,Electronics,55000,1.0,2024-13-01,India,Completed
1008,David Lee,david@example.com,Phone,Electronics,30000,2.0,2024-01-25,USA,Completed
1009,Ali Khan,ali@mail.com,Headphones,Electronics,2000,-1.0,2024-01-26,India,Completed
1010,Sara Ali,sara@mail.com,Tablet,Electronics,abc,1.0,2024-01-28,India,Completed
1011,Rohan Das,rohan@mail.com,Laptop,Electronics,55000,1.0,,India,Completed
1012,Anita Sharma,anita@mail.com,Smartwatch,Electronics,15000,1.0,2024-01-30,India,Completed
